2011-10-26 18:29:36 Debug: Notice (8): Undefined property: TwitterComponent::$getTwitterUser in [C:\xampp\htdocs\twitevent\app\controllers\usuarios_controller.php, line 160]
2011-10-26 18:30:00 Debug: Notice (8): Undefined property: TwitterComponent::$getTwitterUser in [C:\xampp\htdocs\twitevent\app\controllers\usuarios_controller.php, line 160]
2011-10-26 18:30:19 Debug: Notice (8): Undefined index: oauth_token in [C:\xampp\htdocs\twitevent\app\plugins\twitter\controllers\components\Twitter\twitter.php, line 134]
2011-10-26 18:30:19 Debug: Notice (8): Undefined index: oauth_token_secret in [C:\xampp\htdocs\twitevent\app\plugins\twitter\controllers\components\Twitter\twitter.php, line 134]
2011-10-26 18:31:45 Debug: Notice (8): Undefined index: oauth_token in [C:\xampp\htdocs\twitevent\app\plugins\twitter\controllers\components\Twitter\twitter.php, line 134]
2011-10-26 18:31:46 Debug: Notice (8): Undefined index: oauth_token_secret in [C:\xampp\htdocs\twitevent\app\plugins\twitter\controllers\components\Twitter\twitter.php, line 134]
2011-10-26 18:32:16 Debug: Notice (8): Undefined index: oauth_token in [C:\xampp\htdocs\twitevent\app\plugins\twitter\controllers\components\Twitter\twitter.php, line 134]
2011-10-26 18:32:16 Debug: Notice (8): Undefined index: oauth_token_secret in [C:\xampp\htdocs\twitevent\app\plugins\twitter\controllers\components\Twitter\twitter.php, line 134]
2011-10-26 18:36:17 Debug: Notice (8): Undefined index: oauth_token in [C:\xampp\htdocs\twitevent\app\plugins\twitter\controllers\components\Twitter\twitter.php, line 135]
2011-10-26 18:36:17 Debug: Notice (8): Undefined index: oauth_token_secret in [C:\xampp\htdocs\twitevent\app\plugins\twitter\controllers\components\Twitter\twitter.php, line 135]
2011-10-26 18:37:32 Debug: Notice (8): Undefined index: oauth_token in [C:\xampp\htdocs\twitevent\app\plugins\twitter\controllers\components\Twitter\twitter.php, line 134]
2011-10-26 18:37:32 Debug: Notice (8): Undefined index: oauth_token_secret in [C:\xampp\htdocs\twitevent\app\plugins\twitter\controllers\components\Twitter\twitter.php, line 134]
2011-10-26 18:38:53 Debug: Notice (8): Undefined index: oauth_token in [C:\xampp\htdocs\twitevent\app\plugins\twitter\controllers\components\Twitter\twitter.php, line 134]
2011-10-26 18:38:53 Debug: Notice (8): Undefined index: oauth_token_secret in [C:\xampp\htdocs\twitevent\app\plugins\twitter\controllers\components\Twitter\twitter.php, line 134]
2011-10-26 18:52:06 Debug: Notice (8): Undefined index: oauth_token in [C:\xampp\htdocs\twitevent\app\plugins\twitter\controllers\components\Twitter\twitter.php, line 134]
2011-10-26 18:52:06 Debug: Notice (8): Undefined index: oauth_token_secret in [C:\xampp\htdocs\twitevent\app\plugins\twitter\controllers\components\Twitter\twitter.php, line 134]
2011-10-26 18:52:28 Debug: Notice (8): Undefined index: oauth_token in [C:\xampp\htdocs\twitevent\app\plugins\twitter\controllers\components\Twitter\twitter.php, line 134]
2011-10-26 18:52:28 Debug: Notice (8): Undefined index: oauth_token_secret in [C:\xampp\htdocs\twitevent\app\plugins\twitter\controllers\components\Twitter\twitter.php, line 134]
2011-10-26 18:53:23 Debug: Notice (8): Undefined index: oauth_token in [C:\xampp\htdocs\twitevent\app\plugins\twitter\controllers\components\Twitter\twitter.php, line 134]
2011-10-26 18:53:23 Debug: Notice (8): Undefined index: oauth_token_secret in [C:\xampp\htdocs\twitevent\app\plugins\twitter\controllers\components\Twitter\twitter.php, line 134]
2011-10-26 18:53:29 Debug: Notice (8): Undefined index: oauth_token in [C:\xampp\htdocs\twitevent\app\plugins\twitter\controllers\components\Twitter\twitter.php, line 134]
2011-10-26 18:53:29 Debug: Notice (8): Undefined index: oauth_token_secret in [C:\xampp\htdocs\twitevent\app\plugins\twitter\controllers\components\Twitter\twitter.php, line 134]
2011-10-26 18:58:47 Debug: Notice (8): Undefined variable: someone in [C:\xampp\htdocs\twitevent\app\controllers\usuarios_controller.php, line 175]
2011-10-26 18:59:27 Debug: Notice (8): Undefined index: oauth_token in [C:\xampp\htdocs\twitevent\app\plugins\twitter\controllers\components\Twitter\twitter.php, line 134]
2011-10-26 18:59:27 Debug: Notice (8): Undefined index: oauth_token_secret in [C:\xampp\htdocs\twitevent\app\plugins\twitter\controllers\components\Twitter\twitter.php, line 134]
2011-10-26 18:59:55 Debug: Notice (8): Undefined index: oauth_token in [C:\xampp\htdocs\twitevent\app\plugins\twitter\controllers\components\Twitter\twitter.php, line 134]
2011-10-26 18:59:55 Debug: Notice (8): Undefined index: oauth_token_secret in [C:\xampp\htdocs\twitevent\app\plugins\twitter\controllers\components\Twitter\twitter.php, line 134]
2011-10-26 18:59:59 Debug: Notice (8): Undefined index: oauth_token in [C:\xampp\htdocs\twitevent\app\plugins\twitter\controllers\components\Twitter\twitter.php, line 134]
2011-10-26 18:59:59 Debug: Notice (8): Undefined index: oauth_token_secret in [C:\xampp\htdocs\twitevent\app\plugins\twitter\controllers\components\Twitter\twitter.php, line 134]
2011-10-26 19:00:01 Debug: Notice (8): Undefined index: oauth_token in [C:\xampp\htdocs\twitevent\app\plugins\twitter\controllers\components\Twitter\twitter.php, line 134]
2011-10-26 19:00:01 Debug: Notice (8): Undefined index: oauth_token_secret in [C:\xampp\htdocs\twitevent\app\plugins\twitter\controllers\components\Twitter\twitter.php, line 134]
2011-10-26 19:00:06 Debug: Notice (8): Undefined index: oauth_token in [C:\xampp\htdocs\twitevent\app\plugins\twitter\controllers\components\Twitter\twitter.php, line 134]
2011-10-26 19:00:06 Debug: Notice (8): Undefined index: oauth_token_secret in [C:\xampp\htdocs\twitevent\app\plugins\twitter\controllers\components\Twitter\twitter.php, line 134]
2011-10-26 19:01:24 Debug: Notice (8): Undefined index: oauth_token in [C:\xampp\htdocs\twitevent\app\plugins\twitter\controllers\components\Twitter\twitter.php, line 134]
2011-10-26 19:01:24 Debug: Notice (8): Undefined index: oauth_token_secret in [C:\xampp\htdocs\twitevent\app\plugins\twitter\controllers\components\Twitter\twitter.php, line 134]
2011-10-26 19:01:25 Debug: Notice (8): Undefined index: screen_name in [C:\xampp\htdocs\twitevent\app\controllers\usuarios_controller.php, line 161]
2011-10-26 19:01:25 Debug: Notice (8): Undefined index: screen_name in [C:\xampp\htdocs\twitevent\app\controllers\usuarios_controller.php, line 162]
2011-10-26 19:01:25 Debug: Notice (8): Undefined index: screen_name in [C:\xampp\htdocs\twitevent\app\controllers\usuarios_controller.php, line 164]
2011-10-26 19:01:25 Debug: Notice (8): Undefined index: screen_name in [C:\xampp\htdocs\twitevent\app\controllers\usuarios_controller.php, line 171]
2011-10-26 19:01:46 Debug: Notice (8): Undefined index: screen_name in [C:\xampp\htdocs\twitevent\app\controllers\usuarios_controller.php, line 161]
2011-10-26 19:01:46 Debug: Notice (8): Undefined index: screen_name in [C:\xampp\htdocs\twitevent\app\controllers\usuarios_controller.php, line 162]
2011-10-26 19:01:46 Debug: Notice (8): Undefined index: screen_name in [C:\xampp\htdocs\twitevent\app\controllers\usuarios_controller.php, line 164]
2011-10-26 19:01:46 Debug: Notice (8): Undefined index: screen_name in [C:\xampp\htdocs\twitevent\app\controllers\usuarios_controller.php, line 171]
2011-10-26 19:01:47 Debug: Notice (8): Undefined index: oauth_token in [C:\xampp\htdocs\twitevent\app\plugins\twitter\controllers\components\Twitter\twitter.php, line 134]
2011-10-26 19:01:47 Debug: Notice (8): Undefined index: oauth_token_secret in [C:\xampp\htdocs\twitevent\app\plugins\twitter\controllers\components\Twitter\twitter.php, line 134]
2011-10-26 19:01:48 Debug: Notice (8): Undefined index: screen_name in [C:\xampp\htdocs\twitevent\app\controllers\usuarios_controller.php, line 161]
2011-10-26 19:01:48 Debug: Notice (8): Undefined index: screen_name in [C:\xampp\htdocs\twitevent\app\controllers\usuarios_controller.php, line 162]
2011-10-26 19:01:48 Debug: Notice (8): Undefined index: screen_name in [C:\xampp\htdocs\twitevent\app\controllers\usuarios_controller.php, line 164]
2011-10-26 19:01:48 Debug: Notice (8): Undefined index: screen_name in [C:\xampp\htdocs\twitevent\app\controllers\usuarios_controller.php, line 171]
